ID,filter,nameEN,nameFR,linkEN,linkFR
1,false,Administrative Tribunals Support Service of Canada (ATSSC) ,Service canadien d’appui aux tribunaux administratifs,https://www.canada.ca/en/administrative-tribunals-support-service.html,https://www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html
2,false,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,http://www.acoa-apeca.gc.ca/Eng/Pages/Home.aspx,http://www.acoa-apeca.gc.ca/fra/Pages/Accueil.aspx
3,false,Canada Border Services Agency,Agence des services frontaliers du Canada,http://www.cbsa.gc.ca/menu-eng.html,http://www.cbsa.gc.ca/menu-fra.html
4,false,Canada Emission Reduction Incentives Agency,Agence canadienne pour l’incitation à la réduction des émissions,N/A,N/A
5,false,Canada Employment Insurance Commission,Commission de l’assurance-emploi du Canada,http://www.esdc.gc.ca/en/ei/commission.page,http://www.edsc.gc.ca/fr/assurance_emploi/commission.page?&_ga=1.48777519.84267230.1453995717
6,false,Canada Industrial Relations Board,Conseil canadien des relations industrielles,http://www.cirb-ccri.gc.ca/eic/site/047.nsf/eng/home,http://www.cirb-ccri.gc.ca/eic/site/047.nsf/fra/accueil
7,false,Canada Revenue Agency,Agence du revenu du Canada,http://www.cra-arc.gc.ca/menu-eng.html,http://www.cra-arc.gc.ca/menu-fra.html
8,false,Canada School of Public Service,École de la fonction publique du Canada,http://www.csps.gc.ca/index-eng.aspx,http://www.csps.gc.ca/index-fra.aspx
9,false,Canadian Centre for Occupational Health and Safety,Centre canadien d’hygiène et de sécurité au travail,http://www.ccohs.gc.ca/,http://www.cchst.ca/index.html
10,false,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale,http://www.ceaa.gc.ca/default.asp?lang=en&n=d75fb358-1,http://www.ceaa.gc.ca/default.asp?lang=Fr&n=d75fb358-1
11,false,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,http://www.inspection.gc.ca/eng/1297964599443/1297965645317,http://www.inspection.gc.ca/fra/1297964599443/1297965645317
12,false,Canadian Grain Commission,Commission canadienne des grains,https://www.grainscanada.gc.ca/index-eng.htm,https://www.grainscanada.gc.ca/index-fra.htm
13,false,Canadian Human Rights Commission,Commission canadienne des droits de la personne,http://www.chrc-ccdp.gc.ca/eng,http://www.chrc-ccdp.gc.ca/fra
